id,src_mxl,midi,mxl,chunks,cache,n_notes,n_measures,n_in_tokens,n_out_tokens
k00336a2c1938,,data/pairs_broad/k00336a2c1938.mid,data/pairs_broad/k00336a2c1938.musicxml,data/pairs_broad/k00336a2c1938_chunks.json,data/cache_pdmx/5f958fd9b45d8890c3e50e61f95679ed6b976e25be6a81154d0453b044001f2f.pkl,0,0,256,256
k004ae0624eeb,,data/pairs_broad/k004ae0624eeb.mid,data/pairs_broad/k004ae0624eeb.musicxml,data/pairs_broad/k004ae0624eeb_chunks.json,data/cache_pdmx/3db2a3852478cfbd1eecef6135136dfec47d3ff74b501f3d87fef49b2e0c1cc9.pkl,0,0,256,256
k00927959ae52,,data/pairs_broad/k00927959ae52.mid,data/pairs_broad/k00927959ae52.musicxml,data/pairs_broad/k00927959ae52_chunks.json,data/cache_pdmx/6967763ea5fa8c0f41b3ed401c4147053913d910c1eaac2558d90dea8005f743.pkl,0,0,256,256
k00b02d175cf5,,data/pairs_broad/k00b02d175cf5.mid,data/pairs_broad/k00b02d175cf5.musicxml,data/pairs_broad/k00b02d175cf5_chunks.json,data/cache_pdmx/70525306972070675be0eb2d7bba1ceb1c1e41a26954cf4a8fc24d61314b4778.pkl,0,0,256,256
k00d3b1bb23cd,,data/pairs_broad/k00d3b1bb23cd.mid,data/pairs_broad/k00d3b1bb23cd.musicxml,data/pairs_broad/k00d3b1bb23cd_chunks.json,data/cache_pdmx/522a31971b84e35fa8655b8e88dd51335c3743cea94924941066b85a93436120.pkl,0,0,256,256
k010ca402419b,,data/pairs_broad/k010ca402419b.mid,data/pairs_broad/k010ca402419b.musicxml,data/pairs_broad/k010ca402419b_chunks.json,data/cache_pdmx/4ebdf330227e62e6890915550b9d7da5df23526fbde1a325c2d2b5c4771f79fa.pkl,0,0,256,256
k010f15013867,,data/pairs_broad/k010f15013867.mid,data/pairs_broad/k010f15013867.musicxml,data/pairs_broad/k010f15013867_chunks.json,data/cache_pdmx/9f981c43cc2fea1562f4579325df311b971556749e507b3d4376e2951d831a53.pkl,0,0,256,256
k0220d7a8cfae,,data/pairs_broad/k0220d7a8cfae.mid,data/pairs_broad/k0220d7a8cfae.musicxml,data/pairs_broad/k0220d7a8cfae_chunks.json,data/cache_pdmx/3aca5b12d8e53ee6c1ea478b30d0419393ac184569708b2a586a1f6163404d97.pkl,0,0,256,256
k028d0c57cf41,,data/pairs_broad/k028d0c57cf41.mid,data/pairs_broad/k028d0c57cf41.musicxml,data/pairs_broad/k028d0c57cf41_chunks.json,data/cache_pdmx/e758a6abb702d34ba947918940778d260f8cea2e022a26ddeccdf0eb910073dc.pkl,0,0,256,256
k02b4f1b52d40,,data/pairs_broad/k02b4f1b52d40.mid,data/pairs_broad/k02b4f1b52d40.musicxml,data/pairs_broad/k02b4f1b52d40_chunks.json,data/cache_pdmx/bcbe053ec73e4dc49c5757d97860e76caa22a2e87af3a762fdee42bb2e621603.pkl,0,0,256,256
k02bc4e4dbc55,,data/pairs_broad/k02bc4e4dbc55.mid,data/pairs_broad/k02bc4e4dbc55.musicxml,data/pairs_broad/k02bc4e4dbc55_chunks.json,data/cache_pdmx/4691f68b5391023ffe287aadfc822dd744d3286be62b673c63f09e1daa399b4c.pkl,0,0,256,256
k02ed169f73e3,,data/pairs_broad/k02ed169f73e3.mid,data/pairs_broad/k02ed169f73e3.musicxml,data/pairs_broad/k02ed169f73e3_chunks.json,data/cache_pdmx/82a862c8999776519967d5b827104f4066b11c4e8052aeb1e1fcfafb2bdb7266.pkl,0,0,256,256
k034fe88320dc,,data/pairs_broad/k034fe88320dc.mid,data/pairs_broad/k034fe88320dc.musicxml,data/pairs_broad/k034fe88320dc_chunks.json,data/cache_pdmx/2641c466e6f55765356bf926bdb309e660c93ee7d9506037e97fd4ca62bd9c9b.pkl,0,0,256,256
