id,src_mxl,midi,mxl,chunks,cache,n_notes,n_measures,n_in_tokens,n_out_tokens
000000,/root/datasets/pdmx/mxl/10/55/QmSY2HHTCMzectR34ecNX6y1sGJbYbvzUuzrfmY9puMerY.mxl,data/pairs_tuplrich/000000.mid,data/pairs_tuplrich/000000.mxl,data/pairs_tuplrich/000000_chunks.json,data/cache_tuplrich/4293ec34c176d765aa7f317b635d6d60d00e5dd8b024e1ddacc608abf84e02fb.pkl,1552,68,1552,1552
000001,/root/datasets/pdmx/mxl/13/36/QmVpzHtFksX82wfSS2PP9N7hYjrTLaR1NMPFH2Z2rP21d9.mxl,data/pairs_tuplrich/000001.mid,data/pairs_tuplrich/000001.mxl,data/pairs_tuplrich/000001_chunks.json,data/cache_tuplrich/0f2a2c94d163292aed923692b63acaa9d732809aeb1d2dd9045289ca5e858512.pkl,2052,75,2052,2052
000002,/root/datasets/pdmx/mxl/8/21/QmQgjm1exhzuLW8zhwZSj5qZH33jUap8hQzaQjRn6ZFQ6q.mxl,data/pairs_tuplrich/000002.mid,data/pairs_tuplrich/000002.mxl,data/pairs_tuplrich/000002_chunks.json,data/cache_tuplrich/45f1ffde92314dedb235e7c7ffd83ca4e581cd2dceca9b1a3759d80af86d89d7.pkl,144,19,144,144
000003,/root/datasets/pdmx/mxl/9/54/QmRyhNem1B85bLVF9zBqSbYFwjHfJ5MWeAcZ821tHfEFFV.mxl,data/pairs_tuplrich/000003.mid,data/pairs_tuplrich/000003.mxl,data/pairs_tuplrich/000003_chunks.json,data/cache_tuplrich/54ebe16671318fc6b6ae42e3547b7f352883a45ca69c3542718a5523634dce04.pkl,2910,70,2910,2910
000004,/root/datasets/pdmx/mxl/9/15/QmRdZzHADycyaqsRD8XzGARpjd4rxEbutWZxokQmYCpq66.mxl,data/pairs_tuplrich/000004.mid,data/pairs_tuplrich/000004.mxl,data/pairs_tuplrich/000004_chunks.json,data/cache_tuplrich/bcdde0fe964811c9665329dbd330e6a3ac8b55527bf7452f0fcea183d1d043b7.pkl,304,80,304,304
000005,/root/datasets/pdmx/mxl/0/9/Qmaagt2HoacEd2zyGA6x2YrjLM2m3C9ty2P6VkP8soSfPi.mxl,data/pairs_tuplrich/000005.mid,data/pairs_tuplrich/000005.mxl,data/pairs_tuplrich/000005_chunks.json,data/cache_tuplrich/75941324d46fd0551398d915b7418083555e853916a8ba99d11eb0a941fb47b5.pkl,130,36,130,130
000006,/root/datasets/pdmx/mxl/4/6/Qme7zppVEWGhpmGXbx7qhr4caMeFGvMGc7s9ax64ZPzKYU.mxl,data/pairs_tuplrich/000006.mid,data/pairs_tuplrich/000006.mxl,data/pairs_tuplrich/000006_chunks.json,data/cache_tuplrich/d8a348460f3b87e8439fa88237832b45ba60b3ce382e966b7aec6a7284de806c.pkl,2837,88,2837,2837
000007,/root/datasets/pdmx/mxl/11/43/QmTSSb3msm9AzKqDnbAammtX5mbTRz2AajTR2tfJYRDgv2.mxl,data/pairs_tuplrich/000007.mid,data/pairs_tuplrich/000007.mxl,data/pairs_tuplrich/000007_chunks.json,data/cache_tuplrich/648b3ec247a7423b48b9de4d0f9bc845b85e52c6c28c5c6aa31530814f38a8ac.pkl,110,32,110,110
000008,/root/datasets/pdmx/mxl/14/56/QmWzT3WwFQ6adUQhjbfmFFuoGHfSsb833aEgJiBNo7MqTM.mxl,data/pairs_tuplrich/000008.mid,data/pairs_tuplrich/000008.mxl,data/pairs_tuplrich/000008_chunks.json,data/cache_tuplrich/6ec569aa8bd079b3911e71f42286f8af775ff2382e75a4f7962075753cbe5561.pkl,318,34,318,318
000009,/root/datasets/pdmx/mxl/16/36/QmYppwi9HcUXmiwABVYr3oHWYVMDSUa566JkpGEzdq7Wy2.mxl,data/pairs_tuplrich/000009.mid,data/pairs_tuplrich/000009.mxl,data/pairs_tuplrich/000009_chunks.json,data/cache_tuplrich/e8f77749a2ca28225546ea9f5dae3cfe72aca06d70ab93a65e4ca5a5593f21cf.pkl,333,18,333,333
000010,/root/datasets/pdmx/mxl/0/40/QmarYJvikvMshH2HpFmAQkkKgMDsnVQW3x6fBYoD42m1um.mxl,data/pairs_tuplrich/000010.mid,data/pairs_tuplrich/000010.mxl,data/pairs_tuplrich/000010_chunks.json,data/cache_tuplrich/0be1557539015a0da0833716498fe7693071bc9149d4db31c62e1a07cb9f4a0c.pkl,684,81,684,684
000011,/root/datasets/pdmx/mxl/12/11/QmUb7q5bR2stxiVbVt33kr4cmxcxRFd9FczU1qEfEYL1Ux.mxl,data/pairs_tuplrich/000011.mid,data/pairs_tuplrich/000011.mxl,data/pairs_tuplrich/000011_chunks.json,data/cache_tuplrich/1004c4d58922086e39db91d917f22e6c6f7e2ba92dfc97a6b987f7a8024b0bd3.pkl,78,16,78,78
000012,/root/datasets/pdmx/mxl/13/40/QmVrSMGpB5v8Mg1ESUY9UqMw61SURdQjmDMps2WJRCWUQf.mxl,data/pairs_tuplrich/000012.mid,data/pairs_tuplrich/000012.mxl,data/pairs_tuplrich/000012_chunks.json,data/cache_tuplrich/ff4c90e068ae8524bd47ff951ec9f466a9041e5219d71d6c417f009ce3acb435.pkl,314,28,314,314
000013,/root/datasets/pdmx/mxl/10/50/QmSwmnz6McPBtb9Z6uk57JfraNZD5VmcJBo6fiyMKWCoUk.mxl,data/pairs_tuplrich/000013.mid,data/pairs_tuplrich/000013.mxl,data/pairs_tuplrich/000013_chunks.json,data/cache_tuplrich/00a64d8dd366e118ed1af6df4b97a137d490addf7f98939456ebfbcd88b8fbe3.pkl,80,20,80,80
000014,/root/datasets/pdmx/mxl/1/13/QmbcbfbKYsHetq3J4LYMvnZXDo5kRqHExRpmCrZf3RX8uW.mxl,data/pairs_tuplrich/000014.mid,data/pairs_tuplrich/000014.mxl,data/pairs_tuplrich/000014_chunks.json,data/cache_tuplrich/5d346c4b213e8bccd70cb8fc1afdf0df79ed85bb58b2749770654a82cc952d09.pkl,268,34,268,268
000015,/root/datasets/pdmx/mxl/0/45/QmaTS8ZS3CLNWj6JkRq8BJsdbkkgzKttQQM85hsV1oUnXj.mxl,data/pairs_tuplrich/000015.mid,data/pairs_tuplrich/000015.mxl,data/pairs_tuplrich/000015_chunks.json,data/cache_tuplrich/df6650e6f4b03c8295c185b3c8f0ef541660b9d61cf963f57bcdb6a8dbf4b751.pkl,350,18,350,350
000016,/root/datasets/pdmx/mxl/4/16/QmeDw7uvyz1JP3LkgJUw1UabwhF1Eca9QYsbFPeUxUPVHX.mxl,data/pairs_tuplrich/000016.mid,data/pairs_tuplrich/000016.mxl,data/pairs_tuplrich/000016_chunks.json,data/cache_tuplrich/09c25296a4f3e301c358f93ed891d072b66b5406fdf77471f5d33373ae04b0ac.pkl,252,36,252,252
000017,/root/datasets/pdmx/mxl/8/43/QmQSAPo1X8J5boANLsSkf8ZX69DWgpnCSoeXcWG4Z53799.mxl,data/pairs_tuplrich/000017.mid,data/pairs_tuplrich/000017.mxl,data/pairs_tuplrich/000017_chunks.json,data/cache_tuplrich/4a620611bf6c8efdfd2d856c057aa456b071d1d54bd1cb2077ba46fc174d03e5.pkl,272,34,272,272
000018,/root/datasets/pdmx/mxl/0/6/Qma73LHVjdL3M8pSFYcjBmmi6t4zGF2wCCjEAQRp1EWeCn.mxl,data/pairs_tuplrich/000018.mid,data/pairs_tuplrich/000018.mxl,data/pairs_tuplrich/000018_chunks.json,data/cache_tuplrich/9aab7b3b6ecce3c1bf1f1f667b43eead904b8a8970ec90ce25efe6984eef5742.pkl,8143,393,8143,8143
000019,/root/datasets/pdmx/mxl/13/4/QmV5V9W12c8brbJD256pnnx8nzh8bE1BTyaee4xVxuMNNf.mxl,data/pairs_tuplrich/000019.mid,data/pairs_tuplrich/000019.mxl,data/pairs_tuplrich/000019_chunks.json,data/cache_tuplrich/d7149bc3f23e248d13219ed9752d97a878a6f0d09ddfc9fcae54dbd22fffc699.pkl,1362,77,1362,1362
000020,/root/datasets/pdmx/mxl/4/22/QmeGrEJQpto1QYu9Soh43Kb9Vnypu2C2FCjbyTBq6QWUg8.mxl,data/pairs_tuplrich/000020.mid,data/pairs_tuplrich/000020.mxl,data/pairs_tuplrich/000020_chunks.json,data/cache_tuplrich/80e74ea3a8d071457d5f334b95e7c02ac48945c59228ae03d87b1ac95af662b6.pkl,4235,351,4235,4235
000021,/root/datasets/pdmx/mxl/12/26/QmUj61fxx8i56jZkNEzshxgi6bAkEpVEUHJmsCvNbvQfq4.mxl,data/pairs_tuplrich/000021.mid,data/pairs_tuplrich/000021.mxl,data/pairs_tuplrich/000021_chunks.json,data/cache_tuplrich/cc217575741e93438f31f6555050c6d265a728b95c51eeda3046f02c4707de40.pkl,137,17,137,137
000022,/root/datasets/pdmx/mxl/15/28/QmXk8R51D5ft22Qr4pSa6RKbN9qVciaBjdy2DxLY8mq7Sb.mxl,data/pairs_tuplrich/000022.mid,data/pairs_tuplrich/000022.mxl,data/pairs_tuplrich/000022_chunks.json,data/cache_tuplrich/5f192aa1c2488e4364d099771b3eccd9875797aa43f24c50d64f5fc2b9d2c250.pkl,5298,269,5298,5298
000023,/root/datasets/pdmx/mxl/8/1/QmQ26bMJQSUgUjRvbAFqHfN7fa8JVQVDE5kmB7TSmHxCbR.mxl,data/pairs_tuplrich/000023.mid,data/pairs_tuplrich/000023.mxl,data/pairs_tuplrich/000023_chunks.json,data/cache_tuplrich/63ee1e6d4127e30d12389769338ad910aa9a539d1262c0f6141dda96d4042450.pkl,384,96,384,384
000024,/root/datasets/pdmx/mxl/13/46/QmVuGEXRhTsGna42eo4prVbVWn9amWmrJQ5Uh8CqeTNv2R.mxl,data/pairs_tuplrich/000024.mid,data/pairs_tuplrich/000024.mxl,data/pairs_tuplrich/000024_chunks.json,data/cache_tuplrich/43c92872a8edb7c9bcb8281619b69e4d034fc5a2f4cc8eae5c9b8e48654937e1.pkl,44,13,44,44
000025,/root/datasets/pdmx/mxl/7/46/QmPu68gidg7Q53x1KgjuxX3aaFQf4LafbEhijmTrmX52oK.mxl,data/pairs_tuplrich/000025.mid,data/pairs_tuplrich/000025.mxl,data/pairs_tuplrich/000025_chunks.json,data/cache_tuplrich/d893cbd5ca787f2beceb05c9acf3f3b6142c6428ab7b2534df895339e8434474.pkl,126,16,126,126
000026,/root/datasets/pdmx/mxl/10/56/QmSz4snzkXEBApFDwin1MfCvKVmRrgdY4iCmGb6uqPHazF.mxl,data/pairs_tuplrich/000026.mid,data/pairs_tuplrich/000026.mxl,data/pairs_tuplrich/000026_chunks.json,data/cache_tuplrich/4503736e82f45bd1476b56e57ad1ef477870d4704682c2849f11ce002dce2b8d.pkl,2465,149,2465,2465
000027,/root/datasets/pdmx/mxl/15/0/QmX1s8UEHJNHos63qMmPjUpse6SpBmRLtQ1drF82jbtoti.mxl,data/pairs_tuplrich/000027.mid,data/pairs_tuplrich/000027.mxl,data/pairs_tuplrich/000027_chunks.json,data/cache_tuplrich/6ad4b9c45f5db5b50be184530f258c5458549bf1e93f41a5c8dccf6244b7226c.pkl,88,24,88,88
000028,/root/datasets/pdmx/mxl/10/17/QmSez3ugtGRuSaabkh2N3UB7DQ5baQpvt4DzXo57w7xE3U.mxl,data/pairs_tuplrich/000028.mid,data/pairs_tuplrich/000028.mxl,data/pairs_tuplrich/000028_chunks.json,data/cache_tuplrich/fc7b143e156192300251c439c72549018a74b5f457d39fd9d13e1846e4bbcae1.pkl,234,32,234,234
000029,/root/datasets/pdmx/mxl/12/25/QmUiWR2JmKgJsYVfBgEbDz7axMnZMEseP8BwwagDbjkXxh.mxl,data/pairs_tuplrich/000029.mid,data/pairs_tuplrich/000029.mxl,data/pairs_tuplrich/000029_chunks.json,data/cache_tuplrich/282ed0a283f5739ab79db79c7325a55a5131d66958e8f788ed6eff5fea290834.pkl,384,100,384,384
000030,/root/datasets/pdmx/mxl/2/49/QmcV5vc6VdNViiyQto6PSefSKo31WBMjJRKNofV3d4iqef.mxl,data/pairs_tuplrich/000030.mid,data/pairs_tuplrich/000030.mxl,data/pairs_tuplrich/000030_chunks.json,data/cache_tuplrich/28f3a9786a793ac36234754202c13bc622a5a2e6f467620f6feaed42ae367e0e.pkl,120,46,120,120
000031,/root/datasets/pdmx/mxl/11/57/QmTZptKuvgHfNoHNtKniAfyG9ZQDqXkWsXrghGTb6es7iP.mxl,data/pairs_tuplrich/000031.mid,data/pairs_tuplrich/000031.mxl,data/pairs_tuplrich/000031_chunks.json,data/cache_tuplrich/471c9756d5b12b1452c6a692f88d13ed9d7d707fc49131ef5e352fc5a095cf48.pkl,116,32,116,116
000032,/root/datasets/pdmx/mxl/16/24/QmYHtYLDtGPNnKN7UzGkP4mxjs9ZwKsEgDTXVtdkuNwkKj.mxl,data/pairs_tuplrich/000032.mid,data/pairs_tuplrich/000032.mxl,data/pairs_tuplrich/000032_chunks.json,data/cache_tuplrich/3502c42c3f8d32d43d299900f6e6ef501dd1741bfa23a88e688199ba682f458a.pkl,431,18,431,431
000033,/root/datasets/pdmx/mxl/4/40/QmerbfrhdTsn4wTSPzAque3Q2YcUCcet9f5qSq8H9eqPgd.mxl,data/pairs_tuplrich/000033.mid,data/pairs_tuplrich/000033.mxl,data/pairs_tuplrich/000033_chunks.json,data/cache_tuplrich/796c383da00d76c19c9d5810edaf9c8eabc982f0bfef52b516b62509893ec2b7.pkl,353,30,353,353
000034,/root/datasets/pdmx/mxl/15/15/QmXdpjziTtGe4tqgkCQoUKb6ww5FMoat3cEtGtoP6Qhp5V.mxl,data/pairs_tuplrich/000034.mid,data/pairs_tuplrich/000034.mxl,data/pairs_tuplrich/000034_chunks.json,data/cache_tuplrich/209890c315908fb5ab820cf9f8242582a390a18ce10f3937a6f2b8124346cad1.pkl,244,20,244,244
000035,/root/datasets/pdmx/mxl/12/28/QmUkD6wP1EPZxe1mpMMgQeTVsMi427XzpC1EmKQp828Dpn.mxl,data/pairs_tuplrich/000035.mid,data/pairs_tuplrich/000035.mxl,data/pairs_tuplrich/000035_chunks.json,data/cache_tuplrich/2c3aa4054dc788133a3dcf2a0acabc99e3e4125bd59cea91c3c7d6ccfafa3f61.pkl,2115,94,2115,2115
000036,/root/datasets/pdmx/mxl/1/16/QmbDkiqU8MwbZ1i1v7RmCPooLCqXy93iXKNHcTnUiCfbaa.mxl,data/pairs_tuplrich/000036.mid,data/pairs_tuplrich/000036.mxl,data/pairs_tuplrich/000036_chunks.json,data/cache_tuplrich/aec88ba41b5f00b6575b73422a3207323d19b6e595bce4a063bc34e68d3a7678.pkl,363,18,363,363
